"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"1",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3035,2,NA,"S1","441 EAST 178 STREET                      ","            ",10457,1,1,2," 1,287 "," 2,528 ",1899,1,"S1"," -   ",NA,0,2528,1287
"2",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3043,55,NA,"A1","1948 BATHGATE AVENUE                     ","            ",10457,1,0,1," 2,356 "," 2,047 ",1901,1,"A1"," 220,000 ",NA,220000,2047,2356
"3",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3048,27,NA,"A1","538 EAST 182 STREET                      ","            ",10457,1,0,1," 1,209 "," 1,048 ",1901,1,"A1"," -   ",NA,0,1048,1209
"4",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3048,27,NA,"A1","538 EAST 182 STREET                      ","            ",10457,1,0,1," 1,209 "," 1,048 ",1901,1,"A1"," -   ",NA,0,1048,1209
"5",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3053,86,NA,"S0","2364 WASHINGTON AVENUE                   ","            ",10458,1,2,3," 1,911 "," 4,080 ",1931,1,"S0"," -   ",NA,0,4080,1911
"6",2,"BATHGATE                 ","01  ONE FAMILY DWELLINGS                    ","1",3053,102,NA,"A1","2329 BASSFORD AVENUE                     ","            ",10458,1,0,1," 919 "," 1,248 ",1901,1,"A1"," -   ",NA,0,1248,919
"7",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2900,61,NA,"S2","406 EAST TREMONT AVENUE                  ","            ",10457,2,1,3," 1,855 "," 4,452 ",1931,1,"S2"," 399,000 ",NA,399000,4452,1855
"8",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2912,117,NA,"B1","1538 WASHINGTON AVENUE                   ","            ",10457,2,0,2," 2,000 "," 2,400 ",1993,1,"B1"," 493,000 ",NA,493000,2400,2000
"9",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2912,118,NA,"B1","1540 WASHINGTON AVENUE                   ","            ",10457,2,0,2," 2,000 "," 2,400 ",1993,1,"B1"," -   ",NA,0,2400,2000
"10",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",2929,137,NA,"B1","541 CLAREMONT PARKWAY                    ","            ",10457,2,0,2," 3,664 "," 2,394 ",1995,1,"B1"," 470,000 ",NA,470000,2394,3664
"11",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3030,149,NA,"S2","2260 WEBSTER AVENUE                      ","            ",10457,2,1,3," 1,620 "," 3,240 ",1931,1,"S2"," 550,000 ",NA,550000,3240,1620
"12",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3030,202,NA,"B3","4465 PARK AVE                            ","            ",10457,2,0,2," 1,569 "," 1,497 ",1899,1,"B3"," 1,000 ",NA,1000,1497,1569
"13",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3030,202,NA,"B3","4465 PARK AVE                            ","            ",10457,2,0,2," 1,569 "," 1,497 ",1899,1,"B3"," 1,000 ",NA,1000,1497,1569
"14",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3035,140,NA,"B1","1983 WASHINGTON AVENUE                   ","            ",10457,2,0,2," 4,124 "," 2,340 ",1998,1,"B1"," 228,000 ",NA,228000,2340,4124
"15",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3039,6,NA,"B1","440 EAST 185 STREET                      ","            ",10458,2,0,2," 1,500 "," 2,400 ",1997,1,"B1"," 422,500 ",NA,422500,2400,1500
"16",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3039,30,NA,"B1","469B EAST 184 STREET                     ","            ",10458,2,0,2," 741 "," 2,133 ",2006,1,"B1"," -   ",NA,0,2133,741
"17",2,"BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1",3039,42,NA,"B1","440 EAST 186 STREET                      ","            ",10458,2,0,2," 2,000 "," 2,112 ",1901,1,"B1"," -   ",NA,0,2112,2000
