"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"1",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5391,9,NA,"A5","4726 AMBOY ROAD                          ","            ",10312,1,0,1," 3,067 "," 910 ",2002,1,"A5"," 520,000 ",NA,520000,910,3067
"2",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5391,30,NA,"A1","1306 ARDEN AVENUE                        ","            ",10312,1,0,1," 7,500 "," 1,890 ",1952,1,"A1"," -   ",NA,0,1890,7500
"3",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5395,15,NA,"A1","10 EDWIN STREET                          ","            ",10312,1,0,1," 7,000 "," 2,200 ",1980,1,"A1"," 10 ",NA,10,2200,7000
"4",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5397,51,NA,"A1","23 EYLANDT STREET                        ","            ",10312,1,0,1," 10,120 "," 3,000 ",1985,1,"A1"," 955,000 ",NA,955000,3000,10120
"5",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5397,60,NA,"A1","33 EYLANDT STREET                        ","            ",10312,1,0,1," 10,120 "," 3,516 ",1984,1,"A1"," -   ",NA,0,3516,10120
"6",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5399,26,NA,"A1","235 KOCH BOULEVARD                       ","            ",10312,1,0,1," 9,555 "," 1,528 ",1960,1,"A1"," -   ",NA,0,1528,9555
"7",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5401,5,NA,"A2","28 JANSEN STREET                         ","            ",10312,1,0,1," 10,800 "," 2,164 ",1980,1,"A2"," -   ",NA,0,2164,10800
"8",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5401,33,NA,"A1","17 WEAVER STREET                         ","            ",10312,1,0,1," 11,000 "," 3,214 ",1980,1,"A1"," 915,000 ",NA,915000,3214,11000
"9",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5405,47,NA,"A2","369 HAROLD AVENUE                        ","            ",10312,1,0,1," 9,800 "," 1,785 ",1980,1,"A2"," -   ",NA,0,1785,9800
"10",5,"ANNADALE                 ","01  ONE FAMILY DWELLINGS                    ","1",5406,37,NA,"A1","111 ELMBANK STREET                       ","            ",10312,1,0,1," 2,500 "," 1,200 ",1999,1,"A1"," 520,000 ",NA,520000,1200,2500
